Strategy,Asset,Asset Type,Timeframe,Initial Capital,Final Capital,Total Return (%),Annualized Return (%),Sharpe Ratio,Max Drawdown (%),Trades
Transformer,AMZN,stock,week,10000,10000,0.0,0.0,0,0.0,0
MovingAverage,TSLA,stock,week,10000,10000,0.0,0.0,0,0.0,0
MovingAverage_ML,TSLA,stock,week,10000,10000,0.0,0.0,0,0.0,0
LSTM,TSLA,stock,week,10000,10000,0.0,0.0,0,0.0,0
LLM,TSLA,stock,week,10000,10000,0.0,0.0,0,0.0,0
Transformer,TSLA,stock,week,10000,10000,0.0,0.0,0,0.0,0
MovingAverage,BTC-USD,crypto,week,10000,10000,0.0,0.0,0,0.0,0
MovingAverage_ML,BTC-USD,crypto,week,10000,10000,0.0,0.0,0,0.0,0
LSTM,BTC-USD,crypto,week,10000,10000,0.0,0.0,0,0.0,0
LLM,BTC-USD,crypto,week,10000,10000,0.0,0.0,0,0.0,0
Transformer,BTC-USD,crypto,week,10000,10000,0.0,0.0,0,0.0,0
MovingAverage,ETH-USD,crypto,week,10000,10000,0.0,0.0,0,0.0,0
MovingAverage_ML,ETH-USD,crypto,week,10000,10000,0.0,0.0,0,0.0,0
LSTM,ETH-USD,crypto,week,10000,10000,0.0,0.0,0,0.0,0
LLM,ETH-USD,crypto,week,10000,10000,0.0,0.0,0,0.0,0
Transformer,ETH-USD,crypto,week,10000,10000,0.0,0.0,0,0.0,0
MovingAverage,SOL-USD,crypto,week,10000,10000,0.0,0.0,0,0.0,0
MovingAverage_ML,SOL-USD,crypto,week,10000,10000,0.0,0.0,0,0.0,0
LSTM,SOL-USD,crypto,week,10000,10000,0.0,0.0,0,0.0,0
LLM,SOL-USD,crypto,week,10000,10000,0.0,0.0,0,0.0,0
Transformer,SOL-USD,crypto,week,10000,10000,0.0,0.0,0,0.0,0
MovingAverage,ADA-USD,crypto,week,10000,10000,0.0,0.0,0,0.0,0
MovingAverage_ML,ADA-USD,crypto,week,10000,10000,0.0,0.0,0,0.0,0
LSTM,ADA-USD,crypto,week,10000,10000,0.0,0.0,0,0.0,0
LLM,ADA-USD,crypto,week,10000,10000,0.0,0.0,0,0.0,0
Transformer,ADA-USD,crypto,week,10000,10000,0.0,0.0,0,0.0,0
MovingAverage,DOT-USD,crypto,week,10000,10000,0.0,0.0,0,0.0,0
MovingAverage_ML,DOT-USD,crypto,week,10000,10000,0.0,0.0,0,0.0,0
LSTM,DOT-USD,crypto,week,10000,10000,0.0,0.0,0,0.0,0
LLM,DOT-USD,crypto,week,10000,10000,0.0,0.0,0,0.0,0
Transformer,DOT-USD,crypto,week,10000,10000,0.0,0.0,0,0.0,0
MovingAverage,AAPL,stock,month,10000,10000,0.0,0.0,0,0.0,0
MovingAverage_ML,AAPL,stock,month,10000,10000,0.0,0.0,0,0.0,0
LSTM,AAPL,stock,month,10000,10000,0.0,0.0,0,0.0,0
LLM,AAPL,stock,month,10000,10000,0.0,0.0,0,0.0,0
Transformer,AAPL,stock,month,10000,10000,0.0,0.0,0,0.0,0
MovingAverage,MSFT,stock,month,10000,10000,0.0,0.0,0,0.0,0
MovingAverage_ML,MSFT,stock,month,10000,10000,0.0,0.0,0,0.0,0
LSTM,MSFT,stock,month,10000,10000,0.0,0.0,0,0.0,0
LLM,MSFT,stock,month,10000,10000,0.0,0.0,0,0.0,0
Transformer,MSFT,stock,month,10000,10000,0.0,0.0,0,0.0,0
MovingAverage,GOOGL,stock,month,10000,10000,0.0,0.0,0,0.0,0
MovingAverage_ML,GOOGL,stock,month,10000,10000,0.0,0.0,0,0.0,0
LSTM,GOOGL,stock,month,10000,10000,0.0,0.0,0,0.0,0
LLM,GOOGL,stock,month,10000,10000,0.0,0.0,0,0.0,0
Transformer,GOOGL,stock,month,10000,10000,0.0,0.0,0,0.0,0
MovingAverage,AMZN,stock,month,10000,10000,0.0,0.0,0,0.0,0
MovingAverage_ML,AMZN,stock,month,10000,10000,0.0,0.0,0,0.0,0
LSTM,AMZN,stock,month,10000,10000,0.0,0.0,0,0.0,0
LLM,AMZN,stock,month,10000,10000,0.0,0.0,0,0.0,0
Transformer,AMZN,stock,month,10000,10000,0.0,0.0,0,0.0,0
MovingAverage,TSLA,stock,month,10000,10000,0.0,0.0,0,0.0,0
MovingAverage_ML,TSLA,stock,month,10000,10000,0.0,0.0,0,0.0,0
LSTM,TSLA,stock,month,10000,10000,0.0,0.0,0,0.0,0
LLM,TSLA,stock,month,10000,10000,0.0,0.0,0,0.0,0
Transformer,TSLA,stock,month,10000,10000,0.0,0.0,0,0.0,0
MovingAverage,BTC-USD,crypto,month,10000,10000,0.0,0.0,0,0.0,0
MovingAverage_ML,BTC-USD,crypto,month,10000,10000,0.0,0.0,0,0.0,0
LSTM,BTC-USD,crypto,month,10000,10000,0.0,0.0,0,0.0,0
LLM,BTC-USD,crypto,month,10000,10000,0.0,0.0,0,0.0,0
Transformer,BTC-USD,crypto,month,10000,10000,0.0,0.0,0,0.0,0
MovingAverage,ETH-USD,crypto,month,10000,10000,0.0,0.0,0,0.0,0
MovingAverage_ML,ETH-USD,crypto,month,10000,10000,0.0,0.0,0,0.0,0
LSTM,ETH-USD,crypto,month,10000,10000,0.0,0.0,0,0.0,0
LLM,ETH-USD,crypto,month,10000,10000,0.0,0.0,0,0.0,0
Transformer,ETH-USD,crypto,month,10000,10000,0.0,0.0,0,0.0,0
MovingAverage,SOL-USD,crypto,month,10000,10000,0.0,0.0,0,0.0,0
MovingAverage_ML,SOL-USD,crypto,month,10000,10000,0.0,0.0,0,0.0,0
LSTM,SOL-USD,crypto,month,10000,10000,0.0,0.0,0,0.0,0
LLM,SOL-USD,crypto,month,10000,10000,0.0,0.0,0,0.0,0
